format	width	quality	size	dssim	filename
jpeg	150	86	14738	0.00139292	./quality-samples/sample3.jpg
jpeg	150	96	14475	0.0002753	./quality-samples/sample2.jpg
jpeg	150	98	18200	0.00021214	./quality-samples/sample2.jpg
jpeg	150	99	22228	0.00018535	./quality-samples/sample2.jpg
jpeg	150	100	25624	0.00017383	./quality-samples/sample2.jpg
jpeg	150	97	16125	0.00023679	./quality-samples/sample2.jpg
jpeg	150	93	19631	0.00046242	./quality-samples/sample1.jpg
jpeg	150	92	18398	0.00054254	./quality-samples/sample1.jpg
jpeg	150	95	22959	0.00032881	./quality-samples/sample1.jpg
jpeg	150	91	17528	0.00062235	./quality-samples/sample1.jpg
jpeg	150	94	21165	0.00038831	./quality-samples/sample1.jpg
jpeg	150	100	35735	0.00039138	./quality-samples/sample0.jpg
jpeg	150	96	30546	0.0004726	./quality-samples/sample0.jpg
jpeg	150	98	32641	0.00040924	./quality-samples/sample0.jpg
jpeg	150	97	31521	0.00044273	./quality-samples/sample0.jpg
jpeg	150	99	34464	0.00039752	./quality-samples/sample0.jpg
jpeg	150	94	21932	0.00062785	./quality-samples/sample3.jpg
jpeg	150	92	19063	0.00081222	./quality-samples/sample3.jpg
jpeg	150	95	23652	0.00054804	./quality-samples/sample3.jpg
jpeg	150	93	20309	0.00071867	./quality-samples/sample3.jpg
jpeg	150	91	18184	0.0008969	./quality-samples/sample3.jpg
jpeg	150	97	27824	0.00020875	./quality-samples/sample1.jpg
jpeg	150	99	35414	0.00015335	./quality-samples/sample1.jpg
jpeg	150	98	30914	0.00017208	./quality-samples/sample1.jpg
jpeg	150	96	25245	0.00025837	./quality-samples/sample1.jpg
jpeg	150	100	37971	0.0001432	./quality-samples/sample1.jpg
webp	300	70	9310	0.00281711	./quality-samples/sample2.jpg
jpeg	150	97	28464	0.0004329	./quality-samples/sample3.jpg
webp	300	70	31330	0.00221284	./quality-samples/sample0.jpg
jpeg	150	100	38763	0.00038296	./quality-samples/sample3.jpg
jpeg	150	96	25923	0.00048404	./quality-samples/sample3.jpg
jpeg	150	99	35939	0.00038591	./quality-samples/sample3.jpg
jpeg	150	98	31469	0.00040546	./quality-samples/sample3.jpg
webp	300	73	9684	0.00250781	./quality-samples/sample2.jpg
webp	300	71	9566	0.00250305	./quality-samples/sample2.jpg
webp	300	72	9596	0.00249603	./quality-samples/sample2.jpg
